name,synonyms,category,status_general,risk_level,risk_notes,allergen_flags,diet_tags,environmental_notes,evidence_grade,jurisdiction_status,typical_use,source_citations,last_reviewed,avoid_if
Marjoram,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Bay leaf,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Parsley,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Chives,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Tarragon,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Sumac,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Za'atar,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Saffron,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Vanilla bean,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Garlic powder,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Onion powder,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Curry powder,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Five-spice,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Italian seasoning,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Allspice,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Peppermint,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Spearmint,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Mint,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Lemongrass,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Galangal,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Kaffir lime leaf,,herb/spice,Approved,Low,Generally safe at culinary use levels,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,Seasoning,,2025-08-20,None
Wheat,,grain,Approved,Allergen,Contains gluten,wheat|gluten,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Whole wheat,,grain,Approved,Allergen,Contains gluten,wheat|gluten,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Durum wheat,,grain,Approved,Allergen,Contains gluten,wheat|gluten,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Semolina,,grain,Approved,Allergen,Contains gluten,wheat|gluten,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Rye,,grain,Approved,Allergen,Contains gluten,wheat|gluten,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Barley,,grain,Approved,Allergen,Contains gluten,wheat|gluten,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Oat,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Brown rice,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Basmati rice,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Jasmine rice,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Wild rice,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Cornmeal,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Polenta,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Sorghum,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Millet,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Teff,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Quinoa,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Buckwheat,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Amaranth,,grain,Approved,Low,Generally safe; whole grains preferred,,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,None
Spelt,,grain,Approved,Allergen,Contains gluten,wheat|gluten,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Kamut,,grain,Approved,Allergen,Contains gluten,wheat|gluten,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Farro,,grain,Approved,Allergen,Contains gluten,wheat|gluten,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Bulgur,,grain,Approved,Allergen,Contains gluten,wheat|gluten,vegetarian|halal|kosher|vegan,,A,US:approved|EU:approved|CA:approved,Staple grain,,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Chickpea,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Lentil,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Black bean,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Kidney bean,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Pinto bean,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Navy bean,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Cannellini bean,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Great Northern bean,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Adzuki bean,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Mung bean,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Soybean,,legume,Approved,Allergen,Common allergen,soy,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,Soy allergy
Green pea,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Split pea,,legume,Approved,Low,Generally safe; may cause gas (FODMAP) in some,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Peanut,,legume,Approved,Allergen,Common allergen,peanut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Protein, fiber",,2025-08-20,None
Almond,,nut,Approved,Allergen,Severe allergy risk,tree_nut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, baking",,2025-08-20,None
Walnut,,nut,Approved,Allergen,Severe allergy risk,tree_nut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, baking",,2025-08-20,None
Pecan,,nut,Approved,Allergen,Severe allergy risk,tree_nut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, baking",,2025-08-20,None
Hazelnut,,nut,Approved,Allergen,Severe allergy risk,tree_nut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, baking",,2025-08-20,None
Pistachio,,nut,Approved,Allergen,Severe allergy risk,tree_nut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, baking",,2025-08-20,None
Cashew,,nut,Approved,Allergen,Severe allergy risk,tree_nut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, baking",,2025-08-20,None
Brazil nut,,nut,Approved,Allergen,Severe allergy risk,tree_nut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, baking",,2025-08-20,None
Macadamia,,nut,Approved,Allergen,Severe allergy risk,tree_nut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, baking",,2025-08-20,None
Pine nut,,nut,Approved,Allergen,Severe allergy risk,tree_nut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, baking",,2025-08-20,None
Chestnut,,nut,Approved,Allergen,Severe allergy risk,tree_nut,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, baking",,2025-08-20,None
Sesame seed,,seed,Approved,Allergen,Common allergen,sesame,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, oil, garnish",,2025-08-20,None
Sunflower seed,,seed,Approved,Low,Generally safe,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, oil, garnish",,2025-08-20,None
Pumpkin seed,,seed,Approved,Low,Generally safe,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, oil, garnish",,2025-08-20,None
Flaxseed,,seed,Approved,Low,Generally safe,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, oil, garnish",,2025-08-20,None
Chia seed,,seed,Approved,Low,Generally safe,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, oil, garnish",,2025-08-20,None
Hemp seed,,seed,Approved,Low,Generally safe,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, oil, garnish",,2025-08-20,None
Poppy seed,,seed,Approved,Low,Generally safe,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, oil, garnish",,2025-08-20,None
Cumin seed,,seed,Approved,Low,Generally safe,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, oil, garnish",,2025-08-20,None
Nigella seed,,seed,Approved,Low,Generally safe,,vegan|vegetarian|halal|kosher|paleo,,A,US:approved|EU:approved|CA:approved,"Snacks, oil, garnish",,2025-08-20,None
Milk,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Skim milk,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Whole milk,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Cream,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Half-and-half,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Yogurt,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Greek yogurt,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Cheddar cheese,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Mozzarella,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Parmesan,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Blue cheese,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Ghee,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Buttermilk,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Whey protein,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Casein,,dairy,Approved,Allergen,Milk proteins/lactose may cause reactions,milk,vegetarian|halal|kosher,,A,US:approved|EU:approved|CA:approved,Dairy product,,2025-08-20,None
Egg,,egg,Approved,Allergen,Common allergen,egg,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,"Binder, protein",,2025-08-20,None
Egg white,,egg,Approved,Allergen,Common allergen,egg,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,"Binder, protein",,2025-08-20,None
Egg yolk,,egg,Approved,Allergen,Common allergen,egg,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,"Binder, protein",,2025-08-20,None
Beef,,meat,Approved,Medium,Generally safe when cooked properly,,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Protein,,2025-08-20,None
Pork,,meat,Approved,Medium,Generally safe when cooked properly,,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Protein,,2025-08-20,None
Chicken,,meat,Approved,Medium,Generally safe when cooked properly,,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Protein,,2025-08-20,None
Turkey,,meat,Approved,Medium,Generally safe when cooked properly,,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Protein,,2025-08-20,None
Lamb,,meat,Approved,Medium,Generally safe when cooked properly,,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Protein,,2025-08-20,None
Duck,,meat,Approved,Medium,Generally safe when cooked properly,,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Protein,,2025-08-20,None
Goose,,meat,Approved,Medium,Generally safe when cooked properly,,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Protein,,2025-08-20,None
Venison,,meat,Approved,Medium,Generally safe when cooked properly,,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Protein,,2025-08-20,None
Bison,,meat,Approved,Medium,Generally safe when cooked properly,,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Protein,,2025-08-20,None
Ham,,meat,Approved,Medium,Processed meats may increase sodium/nitrite exposure,,keto|paleo|halal|kosher,,A,US:approved|EU:approved|CA:approved,Protein,,2025-08-20,None
